ville,quartier,type_bien,surface_m2,nb_pieces,nb_chambres,meuble,equipements,prix_loyer_mensuel
Mbour,Mbour centre,Maison,121.5,5,4,False,parking|piscine,530000
Thiès,Non renseigne,Maison,86.3,3,2,False,piscine,430000
Mbour,Zone résidentielle,Studio,44.0,1,0,False,gardiennage,170000
Saint-Louis,Île,Maison,95.1,3,2,False,parking|gardiennage,450000
Dakar,Almadies,Appartement,156.1,7,6,True,,1320000
Saly,Saly Portudal,Appartement,181.7,5,4,False,parking,770000
Mbour,Mbour centre,Maison,72.8,2,1,False,climatisation,265000
Mbour,Mbour centre,Maison,263.2,9,7,True,climatisation,940000
Dakar,Parcelles Assainies,Appartement,150.1,5,4,False,parking|gardiennage|groupe_electrogene,735000
Thiès,Randoulène,Appartement,53.3,3,1,False,gardiennage|piscine,255000
Dakar,Almadies,Studio,46.5,2,0,False,climatisation|parking|piscine,530000
Saly,Saly Portudal,Studio,82.8,3,1,False,,405000
Saint-Louis,Sor,Maison,72.7,2,0,False,piscine,275000
Mbour,Mbour centre,Appartement,113.3,4,3,True,gardiennage|groupe_electrogene,460000
Thiès,Grand Standing,Appartement,90.0,3,1,False,parking,395000
Dakar,Yoff,Maison,76.0,3,2,False,climatisation|gardiennage|groupe_electrogene,540000
Thiès,Médina Fall,Appartement,34.7,1,0,False,,105000
Dakar,Parcelles Assainies,Maison,123.3,5,3,False,piscine,600000
Mbour,Mbour centre,Maison,32.8,2,1,False,piscine,230000
Saint-Louis,Sor,Appartement,150.4,4,3,False,parking|piscine,395000
Mbour,Zone résidentielle,Appartement,25.1,1,0,True,parking,180000
Dakar,Parcelles Assainies,Appartement,31.6,1,0,False,,200000
Saly,Saly Portudal,Villa,53.2,3,2,False,,525000
Saly,Saly Portudal,Maison,69.2,3,1,False,,410000
Mbour,Mbour centre,Appartement,61.6,3,1,False,,215000
Dakar,Yoff,Villa,69.1,1,0,False,climatisation|groupe_electrogene,715000
Thiès,Randoulène,Appartement,101.6,5,3,True,groupe_electrogene,460000
Dakar,Almadies,Appartement,53.9,1,0,False,,420000
Dakar,Yoff,Villa,102.0,4,2,False,,915000
Saint-Louis,Hydrobase,Appartement,18.0,1,0,True,parking,125000
Mbour,Zone résidentielle,Appartement,52.7,1,0,False,parking,200000
Saly,Saly Portudal,Maison,30.7,1,0,False,piscine,265000
Dakar,Yoff,Appartement,149.5,5,4,True,climatisation|gardiennage|groupe_electrogene,1000000
Dakar,Parcelles Assainies,Maison,58.0,4,3,False,parking|piscine,435000
Thiès,Grand Standing,Appartement,119.5,5,3,False,parking|piscine,475000
Dakar,Mermoz,Appartement,27.2,2,1,True,parking|gardiennage,360000
Dakar,Plateau,Appartement,180.2,7,6,False,,1245000
Thiès,Grand Standing,Appartement,92.7,4,2,False,gardiennage,305000
Dakar,Mermoz,Appartement,224.7,7,5,True,groupe_electrogene,1585000
Saint-Louis,Sor,Appartement,87.2,4,3,True,,285000
Thiès,Médina Fall,Studio,34.9,1,0,False,,100000
Mbour,Mbour centre,Appartement,49.0,3,2,False,,220000
Mbour,Mbour centre,Appartement,77.3,3,2,False,gardiennage|groupe_electrogene,290000
Dakar,Non renseigne,Appartement,50.1,1,0,False,,365000
Mbour,Grand Mbour,Appartement,142.1,5,4,False,groupe_electrogene,480000
Mbour,Zone résidentielle,Appartement,91.3,4,2,False,groupe_electrogene,360000
Dakar,Parcelles Assainies,Maison,50.5,2,1,False,piscine,335000
Dakar,Parcelles Assainies,Appartement,131.3,5,3,False,,585000
Saint-Louis,Île,Villa,71.8,2,0,False,,360000
Dakar,Almadies,Villa,128.3,4,3,False,gardiennage,1540000
Dakar,Yoff,Appartement,65.6,2,1,False,climatisation|gardiennage|piscine,495000
Dakar,Yoff,Appartement,115.3,4,3,False,,670000
Mbour,Zone résidentielle,Appartement,70.4,2,1,True,groupe_electrogene,310000
Saint-Louis,Hydrobase,Maison,142.2,6,4,False,,495000
Mbour,Grand Mbour,Appartement,27.6,1,0,False,gardiennage|groupe_electrogene,140000
Mbour,Zone résidentielle,Studio,41.9,2,0,True,parking|gardiennage,235000
Thiès,Grand Standing,Studio,81.1,3,2,False,groupe_electrogene,295000
Saint-Louis,Île,Studio,59.5,1,0,False,piscine|groupe_electrogene,290000
Dakar,Plateau,Maison,69.3,1,0,False,climatisation|gardiennage,640000
Dakar,Mermoz,Villa,122.1,4,2,False,climatisation,1375000
Saint-Louis,Île,Appartement,68.5,4,2,False,,305000
Thiès,Grand Standing,Appartement,103.9,4,3,False,piscine,410000
Saint-Louis,Hydrobase,Appartement,52.5,1,0,False,,185000
Mbour,Zone résidentielle,Villa,23.8,1,0,True,piscine|groupe_electrogene,395000
Saint-Louis,Sor,Maison,127.9,5,4,False,,370000
Thiès,Médina Fall,Studio,200.7,7,5,True,groupe_electrogene,620000
Thiès,Médina Fall,Appartement,98.4,4,2,False,parking|groupe_electrogene,300000
Dakar,Yoff,Villa,83.5,2,1,False,,715000
Dakar,Almadies,Maison,93.0,4,2,False,climatisation,850000
Thiès,Grand Standing,Maison,167.7,7,5,False,climatisation|gardiennage,575000
Dakar,Parcelles Assainies,Villa,99.0,3,2,False,piscine,705000
Thiès,Médina Fall,Appartement,131.0,4,2,True,parking|groupe_electrogene,415000
Mbour,Grand Mbour,Appartement,128.1,5,4,True,climatisation,460000
Dakar,Yoff,Maison,148.2,6,5,True,parking|gardiennage|piscine,1180000
Dakar,Yoff,Appartement,82.5,3,2,True,climatisation|groupe_electrogene,620000
Dakar,Parcelles Assainies,Appartement,65.1,3,2,False,climatisation,405000
Dakar,Parcelles Assainies,Appartement,115.9,4,2,False,gardiennage,505000
Saint-Louis,Île,Appartement,143.0,4,2,False,,445000
Thiès,Randoulène,Studio,156.7,7,5,False,gardiennage|groupe_electrogene,445000
Mbour,Grand Mbour,Maison,178.1,6,5,True,,670000
Saint-Louis,Sor,Appartement,136.5,4,2,False,parking,315000
Thiès,Randoulène,Appartement,63.2,2,1,False,gardiennage,195000
Mbour,Mbour centre,Appartement,98.3,4,3,False,climatisation,340000
Dakar,Parcelles Assainies,Maison,93.8,3,2,False,gardiennage,440000
Dakar,Almadies,Villa,88.5,3,2,True,climatisation,1485000
Dakar,Non renseigne,Villa,116.1,4,2,False,gardiennage,1205000
Mbour,Zone résidentielle,Appartement,78.5,3,1,False,,285000
Thiès,Grand Standing,Appartement,78.5,1,0,False,parking,275000
Dakar,Parcelles Assainies,Appartement,206.8,9,8,True,climatisation|piscine,1070000
Thiès,Médina Fall,Maison,84.8,3,1,True,climatisation|parking|piscine|groupe_electrogene,435000
Dakar,Mermoz,Appartement,147.7,6,5,False,,855000
Saint-Louis,Hydrobase,Maison,152.0,4,3,False,,520000
Thiès,Grand Standing,Maison,99.7,3,1,False,gardiennage|groupe_electrogene,410000
Dakar,Plateau,Appartement,80.2,2,1,False,piscine|groupe_electrogene,685000
Dakar,Yoff,Appartement,53.8,3,1,False,piscine,385000
Saint-Louis,Sor,Appartement,32.5,1,0,False,climatisation,115000
Dakar,Almadies,Appartement,120.3,5,4,False,gardiennage|piscine,990000
Dakar,Almadies,Appartement,108.1,3,2,False,,835000
Dakar,Plateau,Studio,129.4,4,3,False,,880000
Saly,Niakh Niakhal,Appartement,67.5,2,1,False,parking|piscine,385000
Saly,Niakh Niakhal,Appartement,217.4,9,7,False,parking,820000
Saint-Louis,Hydrobase,Maison,113.0,3,2,False,parking|gardiennage,470000
Dakar,Parcelles Assainies,Studio,83.1,2,1,False,parking|piscine|groupe_electrogene,370000
Saly,Saly Portudal,Appartement,22.8,1,0,False,,145000
Mbour,Mbour centre,Studio,71.7,2,1,False,,210000
Mbour,Grand Mbour,Villa,132.5,4,3,False,,490000
Thiès,Médina Fall,Maison,175.8,5,3,False,,425000
Dakar,Parcelles Assainies,Maison,90.1,3,2,False,,420000
Dakar,Mermoz,Appartement,190.2,5,4,False,climatisation|piscine,1095000
Saly,Saly centre,Villa,51.4,1,0,False,parking|groupe_electrogene,440000
Thiès,Randoulène,Appartement,109.8,5,3,False,gardiennage,385000
Dakar,Plateau,Villa,111.4,4,3,False,,1180000
Dakar,Yoff,Maison,120.8,4,2,True,groupe_electrogene,855000
Saint-Louis,Île,Appartement,96.7,3,2,False,climatisation|parking|groupe_electrogene,415000
Dakar,Parcelles Assainies,Appartement,106.7,3,1,False,gardiennage,475000
Mbour,Grand Mbour,Maison,50.7,1,0,False,climatisation|piscine,235000
Mbour,Zone résidentielle,Maison,167.3,6,5,False,piscine,815000
Mbour,Grand Mbour,Appartement,140.4,6,5,False,groupe_electrogene,445000
Thiès,Non renseigne,Studio,104.6,4,3,False,climatisation,335000
Saint-Louis,Hydrobase,Studio,142.1,6,5,False,,435000
Saint-Louis,Île,Maison,170.0,5,4,False,climatisation|parking,610000
Saint-Louis,Sor,Appartement,119.9,4,2,False,piscine,345000
Dakar,Plateau,Appartement,229.2,8,7,False,gardiennage,1410000
Thiès,Médina Fall,Studio,125.0,4,2,False,climatisation,330000
Dakar,Almadies,Appartement,55.3,4,3,False,groupe_electrogene,515000
Thiès,Grand Standing,Studio,101.9,2,1,False,parking,310000
Dakar,Yoff,Appartement,144.9,5,4,True,gardiennage|groupe_electrogene,1050000
Dakar,Almadies,Maison,170.1,7,6,False,gardiennage,1485000
Dakar,Plateau,Appartement,97.7,2,0,True,climatisation|parking|groupe_electrogene,820000
Saint-Louis,Île,Appartement,52.9,1,0,False,parking|gardiennage|piscine|groupe_electrogene,305000
Dakar,Parcelles Assainies,Studio,79.3,2,1,False,,350000
